Id,longum longum,longum infantis,animalis animalis,animalis lactis,bifidum,breve,adolescentis,pseudocatenulatum
1148,0.971,0.01,0,0,0.01,0.01,0,0
1169,0.425,0.055,0.187,0,0.003,0.33,0,0
1032,0.14,0.042,0,0,0.599,0.219,0,0
1050,0.745,0.11,0.006,0,0.132,0.007,0,0
1106,0.01,0,0,0,0.012,0.01,0.959,0.009
1059,0.03,0.041,0.339,0,0.342,0.248,0,0
1154,0.395,0.038,0,0,0.239,0.004,0.322,0.003
1047,0.118,0.067,0.383,0,0.115,0.317,0,0
1151,0.493,0.005,0.005,0,0.005,0.493,0,0
1109,0.327,0.152,0,0,0.249,0.272,0,0
1025,0.439,0.171,0.144,0,0.247,-0.002,0,0
1061,0.347,0.314,0.003,0,0.003,0.332,0,0
1103,0.374,0.094,0.001,0,0.209,0.32,0.001,0.001
1129,0.162,0.537,0.004,0,0.293,0.004,0,0
1062,0.203,0.017,0.243,0,0.291,0,0.243,0.002
1055,0.223,0.028,0.461,0,0.284,0.004,0,0
1150,0.305,0.065,0,0,0.122,0.264,0.241,0.002
1172,0.281,0.105,0.029,0,0.583,0.002,0,0
1034,0.48,0.098,0,0,0.004,0.418,0,0
1120,0.495,0.005,0,0,0.005,0.495,0,0
1132,0.241,0.011,0.337,0,0.069,0.002,0.337,0.003
1130,0.165,0.361,0.466,0,0.004,0.004,0,0
1127,0.265,0.042,0.254,0,0.179,0.003,0.254,0.003
1058,0.365,0.297,0,0,0.003,0.335,0,0
1131,0.352,0.086,0,0,0.268,0.003,0.288,0.003
1167,0.421,0.049,0,0,0.145,0.386,0,0
1105,0.184,0.018,0.31,0,0.172,0.003,0.31,0.003
1030,0.213,0.035,0,0,0.055,0.19,0.502,0.005
1108,0.297,0.013,0,0,0.14,0.287,0.26,0.003
1125,0.205,0.242,0,0,0.551,0.002,0,0
1101,0.367,0.033,0.074,0,0,0.526,0,0
1147,0.127,0.317,0,0,0.553,0.003,0,0
1124,0.304,0.033,0.321,0,0.339,0.003,0,0
1122,0.332,0.017,0,0,0.158,0.003,0.322,0.168
1026,0.332,0.332,0,0,0.003,0.332,0,0
1102,0.246,0.002,0.261,0,0.164,-0.002,0.289,0.039
1064,0.146,0,0.847,0,0,0.007,0,0
1152,0.066,0.009,0.42,0,0.081,-0.001,0.42,0.004
1170,0.668,0.087,0,0,0.239,0.006,0,0
1173,0.228,0.391,0.072,0,0.003,0.306,0,0
1110,0.23,0.073,0,0,0.504,0.193,0,0
1104,0.147,0.175,0.668,0,0.005,0.005,0,0
1035,0.459,0.153,0,0,0.004,0.384,0,0
1134,0.278,0.003,0,0,0.21,0.003,0.298,0.208
1060,0.25,0.002,0,0,0.087,0.002,0.457,0.2
1040,0.368,0.059,0,0,0.246,0.327,0,0
1153,0.33,0,0.351,0,0.316,0.003,0,0
1111,0.22,0,0.422,0,0.354,0.003,0,0
1052,0.401,0,0.209,0,0.074,0.003,0.246,0.067
1049,0.981,0,0.005,0,0,0.01,0.005,0
1158,0.161,0,0.587,0,0.246,0.007,0,0
1157,0,0,0,0,0,0,0.523,0.477
1156,0.99,0,0.01,0,0,0,0,0
1048,0.075,0,0.287,0,0.32,0.319,0,0
1038,0.185,0,0.443,0,0.004,0.368,0,0
1041,0.268,0,0,0,0.389,0,0.34,0.003
1149,0.159,0,0.289,0,0.428,0.124,0,0
1126,0.465,0,0,0,0.535,0,0,0
1121,0.331,0,0,0,0.666,0.003,0,0